genus,base of range (Ma),top of range (Ma),collections,with abundances,geometric mean abundance
Plesiosminthus,28.4,24.8,8,0,NaN
Plesiosorex,28.4,23.03,1,0,NaN
Plesiotriton,66,38,4,0,NaN
Plesiotrochus,33.9,28.1,1,0,NaN
Plesispermophilus,33.9,23.03,2,0,NaN
Plethorodon,66,61.7,1,0,NaN
Pleuarthropterus,48.6,40.4,1,1,0.0179
Pleuofusia,56,47.8,1,0,NaN
Pleurarthropterus,47.8,41.3,15,15,0.0062
Pleuraspidotherium,58.7,56,3,0,NaN
Pleuricellaesporites,56,33.9,38,33,0.0066
Pleurocora,66,61.6,1,0,NaN
Pleurofusia,61.7,23.03,83,33,0.0042
Pleuroguettardia,47.8,38,6,3,0.1295
Pleurolicus,30.8,24.8,4,3,0.4971
Pleurolira,38,33.9,5,0,NaN
Pleuroliria,55.8,28.1,30,17,0.0025
Pleuromeris,66,23.03,91,51,0.0099
Pleuronea,66,28.1,18,0,NaN
Pleurophopsis,28.1,23.03,8,0,NaN
Pleuropodia,37.2,23.03,2,0,NaN
Pleurostoma,61.6,38,14,11,0.0275
Pleurostomella,59.2,47.8,9,9,0.0075
Pleurostylodon,55.8,48,5,1,0.2
Pleurotomaria,66,23.03,23,0,NaN
Pleurotomella,61.7,28.1,16,9,0.0086
Pleurotrema,59.2,56,2,0,NaN
Plevrofusia,47.8,41.3,1,1,0.0023
Plicacesta,66,61.6,1,0,NaN
Plicatopollis,66,40.4,5,1,0.0969
Plicatoria,47.8,38,20,1,0.8969
Plicatoscyllium,58.7,48.6,1,0,NaN
Plicatosyllium,66,61.6,1,0,NaN
Plicatula,61.6,23.03,93,32,0.0049
Plicifusus,41.3,33.9,3,0,NaN
Plicirhynchia,55.8,48,9,2,0.139
Plicirhynichia,37.2,28.4,2,0,NaN
Pliciscala,47.8,28.1,10,3,0.0021
Pliconacca,48.6,33.9,4,0,NaN
Plinthicus,28.1,23.03,1,0,NaN
Plinthosella,33.9,23.03,1,1,0.0303
Plinthus,33.9,23.03,2,2,0.0304
Plintozella,66,61.6,1,0,NaN
Pliobolia,47.8,41.3,1,0,NaN
Pliobothrus,66,23.03,2,0,NaN
Pliolophus,55.8,48.6,2,0,NaN
Pliophloea,66,61.6,4,2,0.0074
Plisomena,34,34,1,1,0.0063
Plochionus,37.2,33.9,1,1,0.0004
Ploegia,56,47.8,1,1,0.0109
Plotophysops,55.8,48.6,1,1,0.0001
Plotopterum,28.1,23.03,1,0,NaN
Plummerita,66,61.6,14,11,0.0533
Plutellites,47.8,41.3,3,3,0.0062
Poabromylus,46.2,33.9,6,0,NaN
Pocillophora,33.9,23.03,1,0,NaN
Pocillopora,37.2,23.03,9,2,0.0157
Podabacia,37.2,28.1,2,0,NaN
Podabrus,66,33.9,7,7,0.0052
Podasteria,37.2,33.9,1,0,NaN
Podemacrochile,47.8,41.3,4,4,0.0412
Podocarpidites,48.6,28.4,1,0,NaN
Podocarpoxylon,56,33.9,1,1,0.04
Podocarpus,52.22,23.03,29,16,0.0063
Podocnemis,66,28.1,10,4,0.3195
Podocyrtis,59.2,33.9,25,0,NaN
Pododesmus,33.9,28.1,10,4,0.0663
Podosira,66,56,2,0,NaN
Podura,47.8,41.3,2,0,NaN
Poebrodon,46.2,40.4,3,1,0.0164
Poebrotherium,37.2,30.8,65,1,0.1765
Poecilocapsus,37.2,33.9,7,7,0.001
Poecilochrus,47.8,41.3,1,1,0.0095
Poecilocoris,28.4,23.03,1,1,0.0009
Poecilognathus,37.2,33.9,1,1,0.0037
Poecilus,47.8,41.3,1,1,0.0157
Pogonocherus,47.8,41.3,1,1,0.0009
Pogonodon,33.3,26.3,7,3,0.0697
Pogonomyrmex,37.2,33.9,2,2,0.005
Poiocera,47.8,41.3,2,2,0.0009
Poirieria,66,28.1,30,3,0.0019
Pokornyella,33.9,28.1,3,0,NaN
Polanisia,28.1,23.03,4,0,NaN
Polemius,37.2,33.9,1,1,0.0004
Polinices,66,23.03,310,121,0.0082
Polinicies,47.8,23.03,14,0,NaN
Poliocoris,37.2,33.9,1,1,0.0037
Poliomyia,50.3,46.2,1,1,0.0208
Polioschistus,37.2,33.9,2,2,0.0004
Poliosphageus,37.2,33.9,1,1,0.0189
Poliothyrsis,28.1,23.03,4,0,NaN
Polistes,59.2,28.1,3,3,0.0018
Polistichus,28.1,23.03,1,1,0.0045
Pollicipes,66,61.6,1,0,NaN
Pollinices,66,56,1,0,NaN
Pollostosperma,48.6,37.2,1,1,0.0033
Pollyosbornia,46.2,40.4,2,0,NaN
Polorthus,66,56,7,0,NaN
Polyascosoecia,38,37.2,2,0,NaN
Polybothris,59.2,41.3,2,2,0.0058
Polycarpella,56,47.8,1,0,NaN
Polycentropus,47.8,33.9,4,4,0.0014
Polychaitocallis,55.8,48.6,1,1,0.0054
Polychrus,37.2,33.9,1,0,NaN
Polycolporopollenites,56,33.9,1,1,0.004
Polydolops,55.8,28.4,9,5,0.2442
Polygireulima,66,61.6,1,0,NaN
Polygonella,66,56,1,0,NaN
Polygonothrips,47.8,41.3,1,1,0.0769
Polygonum,33.9,23.03,4,0,NaN
Polygrana,48.6,37.2,1,1,0.0008
Polygraphus,50.3,46.2,1,1,0.0093
Polygyra,55.8,50.3,1,0,NaN
Polygyreulima,61.6,59.2,5,5,0.0004
Polylepta,47.8,41.3,1,1,0.0001
Polymedosa,37.2,33.9,2,0,NaN
Polymera,47.8,41.3,2,2,0.0008
Polymesoda,66,23.03,50,6,0.0005
Polymorphina,41.3,23.03,17,0,NaN
Polyonyx,66,23.03,1,0,NaN
Polyphaga,47.8,41.3,1,1,0.0003
Polypodiaceoisporites,58.7,37.2,12,12,0.0184
Polypodiisporites,58.7,37.2,40,40,0.0327
Polypodium,56,28.4,24,18,0.0052
Polyporopollenites,48.6,40.4,2,0,NaN
Polypterus,38,33.9,1,0,NaN
Polyschides,41.3,38,6,0,NaN
Polysphaeridium,48.6,37.2,10,10,0.0138
Polysphincta,34,23.03,5,5,0.0008
Polyspora,48.6,40.4,1,0,NaN
Polystenus,47.8,41.3,1,1,0.0001
Polystira,37.2,28.4,4,3,0.0125
Polystoechotites,51.5,33.9,6,6,0.0609
Polystrata,66,23.03,25,0,NaN
Polystylus,47.8,41.3,1,0,NaN
Polytremacis,66,56,2,0,NaN
Polyxena,28.4,23.03,3,3,0.0009
Polyxenus,47.8,41.3,5,0,NaN
Polyzosteria,47.8,41.3,2,2,0.0009
Pomadasys,47.8,41.3,4,0,NaN
Pomahakia,28.4,23.03,2,0,NaN
Pomatias,33.9,28.1,2,0,NaN
Pomatius,28.4,23.03,1,0,NaN
Pompholigma,56,33.9,1,1,0.0006
Pompilus,37.2,23.03,5,5,0.0092
Pondaungia,41.3,38,9,4,0.7071
Pondaungimys,41.3,33.9,1,0,NaN
Ponderia,47.8,23.03,2,0,NaN
Ponera,47.8,23.03,8,8,0.0044
Ponerites,50.3,34,8,8,0.0193
Poneropsis,28.4,23.03,1,1,0.0132
Pongamia,48.6,37.2,2,2,0.0756
Ponomarenkoa,47.8,41.3,1,1,0.0006
Ponomarenkylon,47.8,41.3,1,1,0.0064
Pontifactor,56.8,46.2,6,0,NaN
Pontocyprella,66,61.6,1,0,NaN
Pontocypris,37.2,33.9,1,1,0.0002
Pontocythere,37.2,23.03,2,1,0.0002
Pontogeneus,38,33.9,2,1,0.0001
Pontoniella,46.2,40.4,1,0,NaN
Pontosphaera,55.8,33.9,4,0,NaN
Popovineura,47.8,41.3,1,1,0.0011
Populites,37.2,33.9,1,0,NaN
Populus,64.73,23.03,102,40,0.1061
Porcellana,66,23.03,3,0,NaN
Porcellio,47.8,41.3,1,0,NaN
Porella,38,28.1,12,0,NaN
Poricellaria,41.3,33.9,4,0,NaN
Porina,66,61.6,7,2,0.0272
Porites,66,23.03,128,8,0.0389
Porizon,37.2,33.9,1,1,0.0004
Porochara,58.7,48.6,2,0,NaN
Porocidaris,41.3,33.9,7,0,NaN
Porocolpollenites,48.6,37.2,1,0,NaN
Porocolpopollenites,48.6,40.4,17,13,0.0052
Poroleda,41.3,23.03,2,0,NaN
Poromya,41.3,23.03,11,4,0.0014
Poropeltarion,38,33.9,1,0,NaN
Pororaria,37.2,36,2,0,NaN
Porosoma,66,33.9,4,0,NaN
Porosphaera,66,61.6,6,0,NaN
Porphyrops,47.8,41.3,4,4,0.0004
Porricondyla,47.8,41.3,9,9,0.0002
Porticulasphaera,38,33.9,1,0,NaN
Portlandia,66,23.03,35,1,0.1176
Portnallia,56,47.8,2,0,NaN
Portunites,55.8,41.3,5,0,NaN
Portunus,55.8,28.1,12,0,NaN
Posidocea,47.8,41.3,1,0,NaN
Posidonia,66,23.03,18,0,NaN
Positrona,47.8,41.3,1,1,0.0006
Posocarpus,56,33.9,1,0,NaN
Postalia,55.8,33.9,5,3,0.0005
Posthon,47.8,41.3,2,2,0.0007
Postpithecus,57,55.8,1,1,0.2
Potamageton,33.9,28.1,2,0,NaN
Potamanthellus,33.9,28.1,1,1,0.2679
Potamides,61.6,28.1,109,23,0.0037
Potamogeton,55.8,23.03,33,3,0.0084
Potamomides,37.2,33.9,2,0,NaN
Potamomya,41.3,33.9,12,0,NaN
Potamophilites,47.8,41.3,1,1,0.0083
Potamyia,47.8,41.3,4,4,0.0018
Potanospira,33.9,28.4,2,0,NaN
Potentilla,33.9,23.03,1,0,NaN
Potergites,56,47.8,1,1,0.1969
Potergus,47.8,41.3,3,3,0.008
Poteschistus,37.2,33.9,1,1,0.0004
Potomomya,37.2,33.9,5,0,NaN
Pradjidaumo,37.2,33.9,1,0,NaN
Praeaphidius,47.8,41.3,2,2,0.0001
Praeconocaryomma,66,59.2,12,5,0.0039
Praecytherea,28.1,23.03,1,1,0.012
Praedendrothrips,47.8,41.3,2,2,0.0183
Praehyalocylis,38,28.1,1,0,NaN
Praemachilis,47.8,41.3,1,0,NaN
Praemagadina,27.3,25.2,1,1,0.0947
Praemendesia,47.8,41.3,1,1,0.1
Praemerothrips,47.8,41.3,1,1,0.0084
Praemurica,66,61.6,5,2,0.14
Praenotochilus,28.4,23.03,1,1,0.1
Praeoarces,47.8,41.3,1,1,0.001
Praepapilio,50.3,46.2,2,2,0.3333
Praephoca,47.8,41.3,1,1,0.25
Praerangia,66,61.6,1,1,0.0011
Praerhapydionina,55.8,28.1,10,0,NaN
Praescissurella,66,23.03,5,0,NaN
Praesorites,33.9,28.4,1,0,NaN
Praetereuryopis,47.8,41.3,2,2,0.0151
Praetheridion,47.8,41.3,2,2,0.001
Praolestes,58.7,55.8,1,0,NaN
Prehepatus,48.6,37.2,3,0,NaN
Preissites,66,56,2,0,NaN
Premnoides,63.3,61.7,1,0,NaN
Premontreia,59.2,33.9,5,4,0.9457
Premontria,55.8,50.3,1,0,NaN
Prenolepis,47.8,41.3,23,23,0.0229
Preophidion,61.6,37.2,12,3,0.0008
Prepidolops,55.8,33.9,2,1,1
Prepomonomys,47.8,41.3,1,1,0.4286
Presbymys,40.4,37.2,2,2,0.0174
Presbyorniformipes,55.8,48.6,2,0,NaN
Presbyornis,58.7,48.6,10,4,0.3333
Presbytherium,63.3,56.8,6,0,NaN
Prestrombus,48.6,47.8,2,2,0.0014
Priabona,37.2,33.9,1,1,0.0004
Priabonella,33.9,28.4,1,0,NaN
Priabonocarcinus,66,23.03,1,0,NaN
Primapus,56,47.8,2,2,0.5774
Primnoa,66,61.6,1,0,NaN
Primobucco,55.8,40.4,4,0,NaN
Primocolius,41.3,38,1,1,0.0017
Primorilestes,56,28.1,2,2,0.0925
Primotrogon,48.6,28.4,3,0,NaN
Princetonia,61.7,50.3,9,0,NaN
Prinecphora,37.2,33.9,2,2,0.0031
Priocnemis,28.4,23.03,2,2,0.0009
Prionessus,58.7,55.8,6,0,NaN
Prionocerites,55.8,48.6,1,1,0.5
Prionocidaris,47.8,23.03,6,1,0.5397
Prionodon,41.3,23.03,12,1,0.1182
Prionomerus,37.2,33.9,1,1,0.0007
Prionomyrmex,47.8,23.03,6,6,0.013
Prionus,59.2,23.03,2,2,0.0213
Priscacara,55.8,37.2,2,1,0.2029
Priscachara,55.8,50.3,2,2,0.0067
Priscalestes,48.6,40.4,1,1,0.0179
Priscaphander,66,38,20,7,0.0196
Priscoficus,66,38,46,14,0.0069
Priscoflata,66,56,1,1,0.5
Priscofusus,59.2,23.03,17,1,0.0052
Priscolongatus,33.9,28.1,5,0,NaN
Priscometa,47.8,41.3,3,3,0.0011
Priscopedatus,47.8,28.1,13,0,NaN
Priscosiren,33.9,23.03,2,2,0.4472
Prismacerithium,33.9,28.4,1,0,NaN
Pristapenesia,47.8,41.3,7,7,0.0338
Pristaulacus,47.8,33.9,5,5,0.0011
Pristichampsus,56,33.9,2,0,NaN
Pristigenys,47.8,28.1,5,1,0.0018
Pristimerica,61.6,47.8,4,0,NaN
Pristinacca,61.6,56,2,0,NaN
Pristinictis,61.7,56.8,1,0,NaN
Pristiophorus,55.8,36,7,0,NaN
Pristipomoidens,47.8,41.3,1,0,NaN
Pristipomoides,38,33.9,1,1,0.0007
Pristis,56,28.4,52,2,0.126
Pristomyrmex,47.8,41.3,1,1,0.0013
Pristonychus,47.8,41.3,1,1,0.0039
Pristophorus,28.1,23.03,1,0,NaN
Proacoenonia,56,47.8,1,1,0.0044
Proadinotherium,33.9,28.4,1,0,NaN
Proadusta,47.8,23.03,5,0,NaN
Proailurus,33.9,28.4,1,0,NaN
Proantigonia,33.9,28.1,1,0,NaN
Proapemon,37.2,33.9,1,1,0.0037
Proargyrohyrax,33.9,28.4,1,0,NaN
Probathyopsis,56.8,50.3,49,5,0.0638
Proberotha,47.8,41.3,2,2,0.0071
Probittacomorpha,56,47.8,1,1,0.1667
Problacmaea,47.8,38,1,0,NaN
Probolarina,59.2,36,18,0,NaN
Proboletina,47.8,41.3,1,1,0.0002
Probombus,59.2,56,1,1,0.0086
Proboscina,47.8,28.1,9,0,NaN
Probuccinum,66,61.6,3,3,0.0072
Procadurcodon,40.4,37.2,1,0,NaN
Procaimanoidea,55.8,40.4,5,0,NaN
Procaroloameghinia,58.7,57,2,0,NaN
Procarpophilus,28.1,23.03,1,1,1
Procas,50.3,33.9,3,3,0.0052
Procassidulus,66,23.03,3,0,NaN
Procerapachys,47.8,41.3,8,8,0.0019
Procerapex,38,33.9,22,0,NaN
Proceratium,47.8,41.3,2,2,0.0014
Procerberus,66,61.7,36,2,0.0489
Procerophis,56,47.8,1,1,0.1176
Procerothrips,47.8,41.3,1,1,0.0001
Prochaeradodis,59.2,56,1,1,0.0086
Prochaetocnema,37.2,33.9,1,1,0.0004
Prochetodon,66,55.8,25,0,NaN
Prochlorodius,56,33.9,2,0,NaN
Prochremylus,47.8,41.3,1,1,0.0002
Prochrysotus,47.8,41.3,1,1,0.0001
Procladius,56,23.03,5,5,0.0063
Proclinopyga,47.8,41.3,1,1,0.1
Procoelambus,33.9,28.1,1,1,0.0032
Procolpochelys,33.9,23.03,3,2,0.7071
Proconsul,28.1,23.03,1,1,0.6667
Procoris,37.2,33.9,2,2,0.0007
Procoryphodon,58.7,55.8,1,0,NaN
Procrax,37.2,33.9,1,0,NaN
Procremifania,47.8,41.3,1,1,0.0027
Procrophius,37.2,33.9,3,3,0.0017
Proctacanthus,34,34,1,1,0.0063
Proctotrupes,28.4,23.03,1,1,0.0132
Proctotrypes,37.2,33.9,2,2,0.0048
Procyamops,47.8,41.3,1,1,0.0042
Procydnus,50.3,33.9,9,9,0.001
Procymus,37.2,33.9,1,1,1
Procynodictis,50.3,40.4,11,2,0.0111
Procythereis,28.4,23.03,6,0,NaN
Prodesmodon,66,63.3,1,0,NaN
Prodiacodon,66,50.3,84,4,0.0063
Prodiamesa,47.8,41.3,1,1,0.0233
Prodimorphomyrmex,47.8,41.3,1,1,0.0003
Prodinapsis,56,41.3,22,22,0.009
Prodinoceras,58.7,55.8,7,0,NaN
Prodiscoglossus,33.9,28.4,1,0,NaN
Prodissopsalis,55.8,38,7,0,NaN
Prodontocerum,59.2,56,1,1,0.0172
Prodryas,37.2,33.9,1,1,0.0004
Prodryomyza,47.8,41.3,2,2,0.0124
Prodysdera,28.1,23.03,1,1,0.0119
Proelectrotermes,47.8,33.9,6,6,0.0009
Proeurotica,34,34,3,3,0.0927
Proficus,66,38,2,0,NaN
Progloma,37.2,33.9,1,0,NaN
Progonatemnus,47.8,41.3,1,1,0.0161
Prohaplothrips,47.8,41.3,1,1,0.0312
Prohepialus,59.2,34,2,2,0.0104
Prohercostomus,47.8,41.3,6,4,0.0009
Prohesperocyon,37.2,33.9,1,0,NaN
Proheteromys,33.3,24.8,22,8,0.0514
Proholocompsa,47.8,41.3,1,1,0.0003
Proholoscotolemon,47.8,41.3,2,1,0.0031
Prohypolestes,33.9,28.1,1,1,0.2
Prohyracodon,37.2,33.9,4,0,NaN
Proiridomyrmex,50.3,46.2,1,1,0.0109
Prokalotermes,37.2,28.1,2,2,0.0067
Prolachlanius,47.8,41.3,2,2,0.0025
Prolamioides,59.2,56,2,2,0.0464
Prolapsus,46.2,40.4,7,0,NaN
Prolates,55.8,41.3,7,0,NaN
Prolatidens,66,59.2,1,0,NaN
Proleeuwenia,47.8,41.3,1,1,0.0084
Prolibythea,37.2,33.9,2,2,0.0134
Prolimnocyon,56.8,48.6,87,12,0.0232
Prolinus,47.8,41.3,2,2,0.0013
Prolipiniella,56,47.8,1,1,0.0022
Prolouisina,61.6,59.2,1,0,NaN
Prolygaeus,37.2,33.9,1,1,0.0004
Prolyonetia,47.8,41.3,1,1,0.025
Promanodes,47.8,41.3,2,2,0.0976
Promartes,26.3,24.8,2,1,0.0052
Promastacoides,61.7,56.8,1,1,0.3333
Promastax,56,47.8,1,1,0.1111
Promathildia,66,41.3,6,3,0.02
Promegalestes,58.7,55.8,1,1,0.2
Promerycochoerus,28.4,24.8,12,2,0.3333
Promethes,28.1,23.03,1,1,0.0045
Prometopia,33.9,23.03,1,1,0.037
Promioclaenus,66,41.3,64,4,0.0558
Promonoctonia,33.9,28.1,1,1,0.0794
Promylagaulus,26.3,24.8,3,1,0.0526
Promyllantor,47.8,41.3,1,0,NaN
Promyrmicium,66,56,1,1,0.0556
Pronemobius,50.3,46.2,21,21,0.0895
Proneoglaphyroptera,47.8,41.3,2,2,0.0002
Proneottiophilum,47.8,41.3,1,1,0.0001
Pronephrium,33.9,28.1,5,0,NaN
Pronodens,37.2,30.8,5,2,0.3705
Pronophlebia,50.3,46.2,1,1,0.0455
Pronotacanthus,33.9,28.1,1,0,NaN
Pronothodectes,63.3,56.8,17,0,NaN
Pronymphes,47.8,41.3,2,2,0.0026
Propachynolophus,51,41.3,3,0,NaN
Propalaeanodon,61.7,56.8,2,0,NaN
Propalaeochoerus,33.9,28.4,2,0,NaN
Propalaeosinopa,66,56.8,17,0,NaN
Propalaeotheirum,47.8,41.3,2,0,NaN
Propalaeotherium,55.8,33.9,83,1,0.0043
Propalosoma,49.43,49.43,1,1,0.0417
Propeamussium,66,23.03,72,42,0.0263
Propeleda,33.9,28.1,1,0,NaN
Propelma,47.8,41.3,1,1,0.0024
Propenser,66,61.6,1,0,NaN
Properca,33.9,28.1,1,0,NaN
Propercarina,33.9,28.1,4,0,NaN
Propetes,47.8,41.3,1,1,0.043
Propetrosia,41.3,38,1,1,0.0165
Prophaeomyia,47.8,41.3,3,3,0.008
Prophaethon,66,56,1,1,1
Prophalacrocorax,33.9,28.4,1,0,NaN
Prophalonia,47.8,41.3,1,1,0.0023
Prophasgonura,59.2,56,1,1,0.0086
Prophetilora,66,61.6,2,2,0.0023
Prophilanthus,37.2,33.9,1,0,NaN
Prophilopota,47.8,41.3,1,1,0.0013
Prophlebonema,47.8,41.3,1,1,0.0016
Prophyllacanthus,38,33.9,1,0,NaN
Propinnotheroides,47.8,41.3,1,0,NaN
Proplatypygus,56,41.3,3,3,0.0023
Proplatyscelio,47.8,41.3,1,1,0.0001
Propliopithecus,31,31,7,0,NaN
Propontocypris,66,23.03,11,1,0.0033
Proporocyclina,56,33.9,1,0,NaN
Propraon,47.8,41.3,1,1,0.0001
Propristis,55.8,33.9,16,1,0.0032
Propsychopsis,47.8,41.3,6,6,0.0032
Proptilocerus,47.8,41.3,5,5,0.053
Proptilocnemus,47.8,41.3,2,2,0.0559
Propylipollis,48.6,37.2,1,1,0.0039
Propyrotherium,48,33.9,2,1,0.5
Prorastomus,56,41.3,2,1,1
Proremiculus,66,59.2,1,0,NaN
Prorhaphidophora,47.8,41.3,1,1,0.0041
Prosagittalata,33.9,28.1,1,1,0.0303
Prosalticella,47.8,41.3,2,2,0.0015
Prosarcodon,66,48.6,2,0,NaN
Proscala,61.6,56,2,0,NaN
Proscalops,33.9,24.8,39,12,0.094
Proscapanus,28.1,23.03,1,0,NaN
Proscardiites,47.8,41.3,1,1,0.025
Proschistocerca,34,34,3,3,0.0173
Prosciurus,40.4,26.3,31,1,0.0213
Proscutum,66,55.8,2,2,0.0006
Proserpinaca,28.1,23.03,9,0,NaN
Prosierola,47.8,41.3,1,1,0.0001
Prosigara,37.2,33.9,1,1,0.0004
Prosoeca,37.2,33.9,1,1,0.0004
Prosopis,37.2,33.9,1,0,NaN
Prosostoma,56,33.9,1,0,NaN
Prospadobius,47.8,41.3,1,1,0.0016
Prosphyracephala,47.8,28.1,21,21,0.0337
Prosqualodon,28.1,23.03,4,1,1
Prostomis,47.8,41.3,3,3,0.0255
Prostylopyga,59.2,56,1,1,0.0086
Prostylotermes,56,47.8,1,1,0.0769
Prosuhpalacsa,33.9,28.1,1,1,0.0256
Prosyntretus,47.8,41.3,1,1,0.025
Prosystenus,47.8,41.3,1,1,0.0263
Protacanthoides,33.9,28.1,1,1,0.0159
Protaceratherium,28.1,23.03,1,0,NaN
Protacnaeus,37.2,33.9,1,1,0.0004
Protadelomys,41.3,38,2,0,NaN
Protadelphe,47.8,41.3,1,1,0.0006
Protadjidaumo,46.2,37.2,6,1,0.0294
Protagras,50.3,46.2,1,0,NaN
Protainophthalmus,37.2,23.03,28,28,0.0194
Protamphipteryx,50.3,46.2,1,1,0.1667
Protanaphothrips,47.8,41.3,9,9,0.0125
Protaneuretus,47.8,41.3,3,3,0.0006
Protanisodera,47.8,41.3,1,1,0.0009
Protanthomyia,47.8,41.3,1,1,0.0042
Protanthomyza,47.8,41.3,11,11,0.0456
Protapate,37.2,33.9,1,1,0.0238
Protapirus,33.9,30.8,5,0,NaN
Protarchaeohyrax,56,28.4,6,0,NaN
Protarchus,28.4,23.03,1,1,0.0009
Protartematopus,47.8,41.3,1,1,0.0023
Protasmanina,56,47.8,1,1,0.5
Protaulacigaster,47.8,41.3,1,1,0.2
Protazteca,34,34,28,28,0.0213
Proteacidites,56,33.9,3,3,0.0041
Proteaciphyllum,55.8,46.2,3,1,0.0046
Protectobia,59.2,56,1,1,0.0086
Proteleates,34,34,1,1,0.0057
Protelphidium,55.8,48.6,2,0,NaN
Protemnocyon,33.9,33.3,1,0,NaN
Protempusa,59.2,56,1,1,0.0172
Protenor,37.2,33.9,1,1,0.0004
Protentomodon,61.7,55.8,2,0,NaN
Proteopithecus,33.9,28.1,1,0,NaN
Protephedrus,33.9,28.1,1,1,0.0159
Protepiptera,47.8,41.3,6,6,0.0313
Proterato,33.9,23.03,2,0,NaN
Proterix,33.3,26.3,10,2,0.0293
Proterixoides,46.2,37.2,30,14,0.3636
Proterocara,56,33.9,1,0,NaN
Proterocarcinus,66,23.03,2,0,NaN
Proterocarinus,47.8,41.3,1,0,NaN
Protheosodon,33.9,28.4,1,0,NaN
Protheridion,47.8,41.3,5,5,0.0017
Prothryptacodon,66,56.8,14,0,NaN
Protictis,66,40.4,68,5,0.0082
Protipochus,37.2,33.9,1,1,0.0004
Protitan,37.2,33.9,2,1,0.2222
Protitanops,40.4,33.9,2,0,NaN
Protitanotherium,46.2,33.9,6,0,NaN
Protoadapis,56,41.3,6,1,0.0303
Protoaltingia,56,33.9,6,0,NaN
Protoargentinolithus,61.6,59.2,6,6,0.0629
Protobarclaya,56,47.8,1,0,NaN
Protoberis,34,34,1,1,0.0027
Protobombus,48.6,41.3,21,21,0.0043
Protoboysia,55.8,50.3,1,0,NaN
Protobrotula,33.9,28.1,1,0,NaN
Protocallianassa,66,33.9,4,0,NaN
Protocamilla,47.8,41.3,5,5,0.0025
Protocardia,66,55.8,9,3,0.0003
Protoceletes,47.8,41.3,1,1,0.0213
Protocerapterus,47.8,41.3,2,2,0.0044
Protoceras,33.9,30.8,9,1,0.3333
Protocetus,47.8,41.3,1,0,NaN
Protochelydra,58.7,50.3,5,0,NaN
Protochersis,28.1,23.03,1,1,0.006
Protochrysa,51,51,2,2,0.0527
Protochrysidis,47.8,41.3,1,1,0.0001
Protochrysotoxum,37.2,33.9,1,1,0.013
Protoclaviger,56,47.8,1,1,0.0385
Protocolliolus,61.6,59.2,3,3,0.0195
Protocommiphora,56,47.8,1,0,NaN
Protocypraea,61.6,59.2,3,0,NaN
Protocypselomorphus,48.6,40.4,1,0,NaN
Protodelomys,48.6,40.4,1,1,0.0955
Protodiaeretiella,33.9,28.1,1,1,0.0317
Protodidelphis,58.7,57,3,0,NaN
Protodikraneura,47.8,41.3,3,3,0.0034
Protodinia,47.8,41.3,1,1,0.0013
Protodolichurus,47.8,41.3,1,1,0.0476
Protodoris,56,47.8,1,1,0.0044
Protoedalea,55.8,48.6,1,1,0.3333
Protoformica,47.8,41.3,1,1,0.0024
Protoginella,37.2,33.9,2,0,NaN
Protoginglymostoma,47.8,41.3,1,0,NaN
Protognathinus,48.6,40.4,1,1,0.0045
Protohahnia,47.8,41.3,2,2,0.0018
Protoibalia,37.2,33.9,1,1,0.0007
Protolachesis,28.1,23.03,1,1,0.006
Protolactaga,28.1,23.03,2,0,NaN
Protoliarus,50.3,46.2,2,2,0.2132
Protolimnophila,56,47.8,1,1,0.0357
Protolispothrips,47.8,41.3,1,1,0.0006
Protolithurgus,47.8,41.3,1,1,0.0105
Protolopheros,47.8,41.3,1,1,0.0042
Protoma,33.9,23.03,13,1,0.0588
Protomastigusa,47.8,41.3,1,1,0.001
Protomelecta,37.2,33.9,1,1,0.0037
Protomenocria,47.8,41.3,3,3,0.0267
Protomicroides,47.8,41.3,1,1,0.0011
Protomimetus,47.8,41.3,2,2,0.001
Protomoropus,55.8,48.6,1,0,NaN
Protomunida,66,23.03,1,0,NaN
Protomutilla,47.8,41.3,8,8,0.0003
Protomyia,28.4,23.03,2,2,0.0096
Protomyrmica,47.8,41.3,1,1,0.0041
Protonaupactus,47.8,41.3,1,1,0.0006
Protoncideres,34,34,2,2,0.0014
Protonema,33.9,23.03,1,0,NaN
Protonoetia,47.8,33.9,13,1,0.0029
Protonycteris,56,47.8,1,0,NaN
Protoorbellia,47.8,41.3,1,1,0.0042
Protophiomys,47.8,28.4,2,1,1
Protophyllum,56.8,55.8,1,1,0.0444
Protophysoglenes,47.8,41.3,1,1,0.001
Protoplatycera,37.2,33.9,1,1,0.0004
Protoplatyphora,47.8,41.3,2,2,0.0087
Protoplotus,66,33.9,1,0,NaN
Protopolistes,34,34,1,1,0.0062
Protopone,47.8,41.3,7,7,0.0071
Protopristocera,47.8,41.3,1,1,0.0002
Protopsalis,50.3,46.2,1,0,NaN
Protopterus,56,28.4,2,0,NaN
Protoptychus,46.2,40.4,2,0,NaN
Protoravensara,56,47.8,3,0,NaN
Protoreodon,46.2,33.9,99,7,0.0453
Protorhingia,47.8,41.3,2,2,0.0009
Protorohippus,55.8,50.3,14,1,0.1644
Protorthezia,47.8,41.3,1,1,0.012
Protorygma,47.8,41.3,1,1,0.0001
Protoscalidion,47.8,41.3,1,1,0.5
Protosceliphron,34,34,1,1,0.0062
Protoscena,47.8,41.3,1,1,0.0238
Protoscinella,47.8,41.3,1,1,0.0013
